,count
peuvent,67
droite,67
voiture,67
cassé,67
france,67
odeur,66
base,66
rond,66
ligne,66
court,66
vert,66
bouge,66
succès,66
connait,66
cons,66
hiver,65
galère,65
vingt,65
perd,65
hall,65
manger,65
bête,65
couleur,64
réponds,64
frérot,64
débarque,64
garçon,64
mène,64
souvenirs,64
salaire,64
ventre,64
réveille,64
bord,64
foi,64
dirait,64
moi-même,64
but,64
vendre,64
penses,64
système,64
vend,63
donné,63
boom,63
pleins,63
bloc,63
rempli,63
jack,63
rappeur,63
pue,63
chambre,63
appel,62
faudra,62
effet,62
arrache,62
emmène,62
illégalement,62
prod,62
ex,62
meurs,62
veille,61
pression,61
finit,61
numéro,61
lâche,61
chien,61
sevran,61
soirée,61
fuir,61
trous,61
verras,61
trou,61
graille,61
départ,61
su,61
faute,61
dessus,61
téléphone,60
connaissent,60
couler,60
dents,60
coke,60
achète,60
zoo,60
surtout,60
jure,60
portes,60
anges,60
daron,60
école,60
black,60
manière,59
idée,59
cas,59
repense,59
saigne,59
destin,59
fera,59
aide,59
volonté,59
grâce,59
violence,58
nouvelles,58
embrouille,58
bouteille,58
déteste,58
rose,58
français,58
flemme,58
vécu,58
tourné,58
chanel,58
phone,58
coffre,58
longue,58
rôle,57
fout,57
piquée,57
ya,57
souris,57
risque,57
ra,57
fer,57
voudrais,57
guette,57
aurait,57
cru,57
roi,57
stress,57
luxe,57
plans,57
arrêter,57
questions,57
attention,56
morale,56
copine,56
malgré,56
savais,56
chante,56
crache,56
début,56
peines,56
debout,56
ange,56
meurt,56
dépression,56
avion,55
one,55
beaux,55
dégaine,55
douleur,55
petits,55
verra,55
vip,55
juge,55
produit,55
pensais,55
vice,55
télé,55
semblant,55
vraie,55
bâtard,54
joues,54
faisais,54
tôt,54
tirer,54
textes,54
regrette,54
montrer,54
liasses,54
carte,54
salle,54
seuls,54
mentir,54
gagner,53
viennent,53
big,53
propre,53
encaisse,53
sud,53
rouler,53
machine,53
rimes,53
tombé,53
ombre,53
serais,53
avancer,53
sœur,53
casser,52
buzz,52
condés,52
micro,52
toit,52
meilleurs,52
banque,52
lovés,52
carrière,52
crie,52
bâtiment,52
souviens,51
lever,51
regrets,51
sentir,51
serré,51
charbonne,51
pays,51
suivre,51
taf,51
back,51
business,51
dragon,50
plutôt,50
rendre,50
crise,50
irai,50
dangereux,50
briller,50
mental,50
mélange,50
signe,50
comprennent,50
victoire,50
came,50
remords,50
belles,50
folle,50
loué,50
sache,50
raté,50
bloqué,50
défoncé,50
brille,49
charbon,49
super,49
attendant,49
cool,49
étaient,49
minutes,49
tient,49
respecte,49
clique,49
queue,49
rime,49
écrire,49
affaire,49
marre,49
règles,49
photos,48
attendre,48
sport,48
pété,48
papier,48
flamme,48
pensent,48
speed,48
accord,48
montre,48
shoote,48
tas,48
revoir,48
oublié,48
nuits,48
mienne,48
mot,48
rai,48
reçois,48
pis,48
rends,48
rouges,48
planète,48
erreurs,48
pleurer,48
pilon,48
ailes,48
écouter,48
hauts-de-seine,48
tuer,48
die,47
nerfs,47
étrange,47
proches,47
cherches,47
nuages,47
quelqu'un,47
pourra,47
remplis,47
voyage,47
parano,47
paie,47
libre,47
promis,47
celles,47
étoile,47
fêter,47
crève,46
acheter,46
pierre,46
benz,46
hess,46
piste,46
regarde-moi,46
chanter,46
fumé,46
bibi,46
be,46
comptes,45
tenir,45
mur,45
sons,45
dont,45
travers,45
pétard,45
appeler,45
bénéf,45
animal,45
descends,45
ferais,45
tort,45
doré,45
zen,45
taffe,45
san,45
artiste,45
violent,45
honneur,45
effort,45
salut,45
clair,45
niqué,45
venir,45
pardon,44
allais,44
baisse,44
entendre,44
génial,44
shoot,44
moments,44
somme,44
avis,44
jackson,44
rêvé,44
bac,44
chiffres,44
cache,44
cali,44
cou,44
aise,44
oreille,44
retrouver,44
continue,44
faisait,43
revenir,43
volant,43
drôle,43
roue,43
brasse,43
moitié,43
cris,43
gagne,43
fusil,43
marquer,43
retourne,43
tony,43
mafia,43
risques,43
réponse,43
regarder,43
proche,43
thunes,43
présent,43
loups,43
fusée,43
compliqué,43
jette,43
pièces,43
moteur,43
riches,43
kilos,42
lundi,42
garçons,42
soient,42
croit,42
gentil,42
sucer,42
foule,42
grand-mère,42
ride,42
boire,42
piscine,42
chair,42
monsieur,42
radio,42
jambes,42
vaisseau,42
white,42
entouré,42
empêche,42
honte,42
meilleure,42
crâne,42
herbe,42
an,41
grammes,41
marcher,41
champs,41
garder,41
faible,41
job,41
liste,41
traces,41
mob,41
avoue,41
plusieurs,41
recherche,41
noirs,41
trace,41
cet,41
orage,41
enfance,41
crier,41
sorte,41
sauter,41
santé,41
chienne,41
platine,41
champagne,41
seins,41
pourvu,41
arrêt,41
tranquille,41
glace,41
taff,41
resté,41
êtes,41
mise,41
sacoche,40
enfin,40
tise,40
aulnay-sous-bois,40
serait,40
neige,40
code,40
sourires,40
flammes,40
mange,40
pêche,40
michael,40
pente,40
deuxième,40
bizarre,40
pourrait,40
humeur,40
aie,40
mérite,40
premiers,40
midi,40
faites,40
niveau,40
nouveaux,40
cher,39
poids,39
vallée,39
race,39
poche,39
caché,39
pardonner,39
poudre,39
réseau,39
barrer,39
sérieux,39
prince,39
paniques,39
fenêtre,39
doux,39
concert,39
contact,39
flash,39
réseaux,39
direct,39
don,39
croix,39
