,count,is_french
au-d'ssus,7,False
happy,7,False
bae,7,False
name,7,False
chouara,7,False
heja,7,False
bella,7,False
iphone,7,False
cyborgs,7,False
mamacita,7,False
de-spi,7,False
moon,7,False
with,7,False
owno,7,False
olympia,7,False
douillé,7,False
woogataga,7,False
gamo,7,False
when,7,False
glocké,7,False
carambar,7,False
marbella,7,False
blue,7,False
camés,7,False
de-spee,7,False
oint-j,7,False
woke,7,False
california,7,False
te-boî,7,False
vec,7,False
motherfucker,7,False
snapchat,7,False
booty,7,False
chaines,7,False
jumper,7,False
dirty,7,False
zetla,7,False
survet,7,False
cut,7,False
guevara,7,False
oyoki,7,False
zblex,7,False
sinaloa,7,False
north,7,False
oye,7,False
gadjos,7,False
blo,7,False
suge,7,False
haters,7,False
kopoba,7,False
canardo,7,False
marley,7,False
raptor,7,False
déf,7,False
chickens,7,False
etre,7,False
zoin,7,False
beatz,7,False
te-por,7,False
tur-fu,7,False
todo,7,False
brolic,7,False
bataradé,7,False
wo-wo-wo-wo-wow,7,False
skrt,7,False
ay,7,False
reconnait,7,False
ademo,7,False
ain't,7,False
quatre-cinq,7,False
yz,7,False
nehess,7,False
ssus,7,False
barça,7,False
blème,7,False
f'sait,7,False
blocks,7,False
viva,7,False
moun,7,False
zer,7,False
ien-cli,7,False
trainer,7,False
guizmo,7,False
bériz,7,False
twerke,7,False
là-celle,7,False
likes,7,False
del,7,False
wayes,7,False
meme,7,False
sp,7,False
ve-ca,7,False
beef,7,False
gangx,7,False
dev'nu,7,False
zder,7,False
he,7,False
rappes,7,False
reurs-ti,7,False
deep,6,False
nanana,6,False
michtos,6,False
cambu,6,False
loubou,6,False
soces,6,False
heure-ci,6,False
soliterrien,6,False
rambo,6,False
henny,6,False
ehh,6,False
ie-v,6,False
juice,6,False
mmes-gra,6,False
featuring,6,False
kalashs,6,False
sim,6,False
hijo,6,False
ienb,6,False
ciro,6,False
these,6,False
phantom,6,False
dites-leur,6,False
parce-que,6,False
fouf,6,False
wooh,6,False
ladys,6,False
una,6,False
hlel,6,False
como,6,False
vui,6,False
per-ta,6,False
pochtar,6,False
dios,6,False
mille-deux,6,False
pese,6,False
blocka,6,False
mythonnent,6,False
neg,6,False
mythonner,6,False
r'voir,6,False
tains-p,6,False
matrix,6,False
batards,6,False
mythonne,6,False
n-da,6,False
foulek,6,False
ouhouhouhouhouhouh,6,False
ref,6,False
khedem,6,False
guirri,6,False
swish,6,False
artena,6,False
malo,6,False
ratatatata,6,False
peufra,6,False
vitry,6,False
story,6,False
sheuboni,6,False
shaq,6,False
hallyday,6,False
crashe,6,False
hautes-noues,6,False
universal,6,False
agüero,6,False
ner-cor,6,False
coño,6,False
thonnent-my,6,False
chelous,6,False
douze-dou,6,False
heineken,6,False
ner-tour,6,False
rolly,6,False
kopp,6,False
arah,6,False
tristeza,6,False
gows,6,False
labess,6,False
fouuu,6,False
yet,6,False
terter,6,False
scred,6,False
mbappé,6,False
ziquer,6,False
zonzon,6,False
rain-ter,6,False
re-ti,6,False
leto,6,False
they,6,False
uc,6,False
sex,6,False
boug,6,False
nueve,6,False
kiss,6,False
charclés,6,False
kicke,6,False
ouhouhouhouh,6,False
pecs,6,False
cr,6,False
lе,6,False
benda,6,False
stunt,6,False
adios,6,False
reur-ti,6,False
dit-ban,6,False
tout-tout-tout,6,False
ex-copines,6,False
gg,6,False
aketo,6,False
alé,6,False
push,6,False
margiela,6,False
batard,6,False
vilc,6,False
pépom,6,False
rends-les,6,False
a-a-a-a-acide,6,False
tokarev,6,False
mets-en,6,False
mannie,6,False
rebelotte,6,False
feel,6,False
nanani,6,False
cruise,6,False
sippin,6,False
sse-f,6,False
lean,6,False
inir,6,False
taffé,6,False
hafrit,6,False
oinj,6,False
maille-aille-aille-aille-aille,6,False
ocho,6,False
ohhh,6,False
move,6,False
zbeul,6,False
ze-ze-ze-ze-zehefyu,6,False
s-line,6,False
luego,6,False
bg,6,False
maille-aille-aille,6,False
bam-bam,6,False
penave,6,False
pocheton,6,False
te-stree,6,False
